x0000,y0000
1530,1362,
1531,1349,
1532,1357,
1533,1331,
1534,1338,
1535,1349,
1536,1338,
1537,1326,
1538,1318,
1539,1311,
1540,1329,
1541,1302,
1542,1307,
1543,1302,
1544,1316,
1545,1315,
1546,1291,
1547,1266,
1548,1295,
1549,1263,
1550,1267,
1551,1265,
1552,1281,
1553,1261,
1554,1275,
1555,1262,
1556,1256,
1557,1269,
1558,1238,
1559,1250,
1560,1222,
1561,1251,
1562,1222,
1563,1227,
1564,1204,
1565,1217,
1566,1232,
1567,1211,
1568,1200,
1569,1208,
1570,1200,
1571,1191,
1572,1193,
1573,1193,
1574,1184,
1575,1207,
1576,1157,
1577,1164,
1578,1170,
1579,1160,
1580,1152,
1581,1151,
1582,1149,
1583,1152,
1584,1143,
1585,1131,
1586,1136,
1587,1142,
1588,1136,
1589,1119,
1590,1133,
1591,1127,
1592,1108,
1593,1118,
1594,1093,
1595,1078,
1596,1095,
1597,1078,
1598,1103,
1599,1066,
1600,1060,
1601,1061,
1602,1064,
1603,1066,
1604,1063,
1605,1036,
1606,1062,
1607,1043,
1608,1047,
1609,1055,
1610,1046,
1611,1000,
1612,1028,
1613,1027,
1614,1007,
1615,1020,
1616,1029,
1617,1017,
1618,996,
1619,1001,
1620,982,
1621,1007,
1622,988,
1623,974,
1624,1005,
1625,999,
1626,996,
1627,977,
1628,1012,
1629,984,
1630,981,
1631,988,
1632,995,
1633,981,
1634,979,
1635,984,
1636,990,
1637,981,
1638,980,
1639,993,
1640,977,
1641,981,
1642,993,
1643,995,
1644,1003,
1645,996,
1646,976,
1647,979,
1648,966,
1649,985,
1650,973,
1651,969,
1652,975,
1653,967,
1654,976,
1655,970,
1656,961,
1657,968,
1658,966,
1659,958,
1660,976,
1661,970,
1662,972,
1663,964,
1664,964,
1665,950,
1666,960,
1667,955,
1668,932,
1669,936,
1670,919,
1671,936,
1672,920,
1673,935,
1674,917,
1675,917,
1676,911,
1677,905,
1678,905,
1679,895,
1680,894,
1681,899,
1682,887,
1683,886,
1684,890,
1685,864,
1686,871,
1687,873,
1688,851,
1689,850,
1690,833,
1691,864,
1692,836,
1693,836,
1694,840,
1695,835,
1696,843,
1697,811,
1698,822,
1699,806,
1700,812,
1701,776,
