x0000,y0000
1643,-12,
1644,-11,
1645,-18,
1646,-8,
1647,-1,
1648,-19,
1649,-4,
1650,-13,
1651,-9,
1652,-12,
1653,-8,
1654,-16,
1655,-9,
1656,-10,
1657,-10,
1658,-6,
1659,-12,
1660,-18,
1661,-7,
1662,-14,
1663,-4,
1664,-9,
1665,-11,
1666,-7,
1667,-6,
1668,-7,
1669,-8,
1670,-7,
1671,-5,
1672,-13,
1673,-9,
1674,-9,
1675,-16,
1676,-13,
1677,-18,
1678,-7,
1679,-13,
1680,-9,
1681,-8,
1682,-10,
1683,-18,
1684,-13,
1685,-7,
1686,-15,
1687,-12,
1688,-12,
1689,-20,
1690,-16,
1691,-9,
1692,-15,
1693,-5,
1694,-8,
1695,-16,
1696,-12,
1697,-13,
1698,-8,
1699,-10,
1700,-10,
1701,-34,
1702,-8,
1703,-11,
1704,-24,
1705,-13,
1706,-4,
1707,-10,
1708,-16,
1709,-14,
1710,-12,
1711,-11,
1712,-10,
1713,-16,
1714,-11,
1715,-12,
1716,-14,
1717,-9,
1718,-19,
1719,-11,
1720,-9,
1721,-12,
1722,-17,
1723,-14,
1724,-13,
1725,-9,
1726,-11,
1727,-16,
1728,-11,
1729,-13,
1730,-20,
1731,-7,
1732,-12,
1733,-10,
1734,-11,
1735,-15,
1736,-10,
1737,0,
1738,-8,
1739,-18,
1740,-8,
1741,-16,
1742,-30,
1743,-13,
1744,-17,
1745,-15,
1746,-11,
1747,-15,
1748,-17,
1749,-8,
1750,-11,
1751,-11,
1752,-20,
1753,-16,
1754,-17,
1755,-11,
1756,-7,
1757,-13,
1758,-16,
1759,-15,
1760,-17,
1761,-9,
1762,-11,
1763,-15,
1764,-13,
1765,-16,
1766,-17,
1767,-18,
1768,-13,
1769,-18,
1770,-14,
1771,-17,
1772,-15,
1773,-9,
1774,-12,
1775,-22,
1776,-20,
1777,-24,
1778,-20,
1779,-9,
1780,-8,
1781,-24,
1782,-23,
1783,-21,
1784,-13,
1785,-30,
1786,-24,
1787,-18,
1788,-9,
1789,-17,
1790,-18,
1791,-9,
1792,-12,
1793,-11,
1794,-12,
1795,-9,
1796,-17,
1797,-2,
1798,-11,
1799,-11,
1800,-13,
1801,-19,
1802,-9,
1803,-20,
1804,-18,
1805,-16,
1806,-21,
1807,-12,
1808,-8,
1809,-13,
1810,-11,
1811,-13,
1812,-10,
1813,-11,
1814,-20,
1815,-15,
1816,-11,
1817,-11,
1818,-15,
1819,-19,
1820,-20,
1821,-12,
1822,-25,
1823,-14,
1824,-16,
1825,-17,
1826,-17,
1827,-13,
1828,-11,
1829,-21,
1830,-24,
1831,-16,
1832,-16,
1833,-12,
1834,-9,
1835,-21,
1836,-18,
1837,-16,
1838,-9,
1839,-11,
1840,-18,
1841,-15,
1842,-36,
1843,-16,
1844,-15,
1845,-16,
1846,-17,
1847,-10,
1848,-20,
1849,-17,
1850,-17,
1851,-15,
1852,-17,
1853,-20,
1854,-22,
1855,-15,
1856,-14,
1857,-21,
1858,-19,
1859,-17,
1860,-20,
1861,-12,
1862,-20,
1863,-23,
1864,-18,
1865,-17,
1866,-21,
1867,-13,
1868,-19,
1869,-21,
1870,-15,
1871,-19,
1872,-17,
1873,-19,
1874,-16,
1875,-23,
1876,-21,
1877,-14,
1878,-16,
1879,-20,
1880,-13,
1881,-18,
1882,-11,
1883,-19,
1884,-16,
1885,-20,
1886,-21,
1887,-15,
1888,-17,
1889,-10,
1890,-20,
1891,-18,
1892,-20,
1893,-21,
1894,-24,
1895,-10,
1896,-19,
1897,-17,
1898,-23,
1899,-15,
1900,-20,
1901,-18,
1902,-12,
1903,-16,
1904,-13,
1905,-19,
1906,-17,
1907,-22,
1908,-13,
1909,-18,
1910,-9,
1911,-14,
1912,-11,
1913,-16,
1914,-25,
1915,-19,
1916,-25,
1917,-16,
1918,-7,
1919,-15,
1920,-15,
1921,-20,
1922,-25,
1923,-15,
1924,-14,
1925,-23,
1926,-19,
1927,-17,
1928,-19,
1929,-14,
1930,-15,
1931,-17,
1932,-15,
1933,-15,
1934,-27,
1935,-16,
1936,-20,
1937,-18,
1938,-17,
1939,-14,
1940,-20,
1941,-18,
1942,-27,
1943,-12,
1944,-18,
1945,-20,
1946,-31,
1947,-17,
