x0000,y0000
1465,100,
1466,104,
1467,92,
1468,102,
1469,96,
1470,95,
1471,98,
1472,95,
1473,89,
1474,93,
1475,93,
1476,98,
1477,90,
1478,86,
1479,88,
1480,89,
1481,93,
1482,85,
1483,87,
1484,78,
1485,84,
1486,78,
1487,90,
1488,77,
1489,81,
1490,80,
1491,82,
1492,87,
1493,75,
1494,72,
1495,77,
1496,79,
1497,69,
1498,80,
1499,81,
1500,77,
1501,74,
1502,74,
1503,71,
1504,66,
1505,72,
1506,54,
1507,65,
1508,62,
1509,66,
1510,68,
1511,72,
1512,77,
1513,62,
1514,69,
1515,65,
1516,63,
1517,68,
1518,68,
1519,54,
1520,71,
1521,71,
1522,56,
1523,69,
1524,62,
1525,60,
1526,61,
1527,59,
1528,63,
1529,70,
1530,64,
1531,63,
1532,64,
1533,54,
1534,57,
1535,58,
1536,55,
1537,67,
1538,56,
1539,46,
1540,56,
1541,51,
1542,61,
1543,55,
1544,58,
1545,53,
1546,58,
1547,55,
1548,59,
1549,47,
1550,48,
1551,46,
1552,50,
1553,49,
1554,53,
1555,48,
1556,44,
1557,41,
1558,54,
1559,48,
1560,45,
1561,55,
1562,49,
1563,37,
1564,39,
1565,43,
1566,48,
1567,45,
1568,36,
1569,50,
1570,49,
1571,49,
1572,46,
1573,52,
1574,43,
1575,45,
1576,32,
1577,44,
1578,40,
1579,43,
1580,48,
1581,50,
1582,46,
1583,33,
1584,47,
1585,41,
1586,38,
1587,35,
1588,41,
1589,38,
1590,40,
1591,38,
1592,41,
1593,42,
1594,37,
1595,21,
1596,41,
1597,32,
1598,43,
1599,30,
1600,38,
1601,31,
1602,32,
1603,44,
1604,39,
1605,31,
1606,40,
1607,32,
1608,30,
1609,41,
1610,41,
1611,30,
1612,31,
1613,33,
1614,36,
1615,40,
1616,40,
1617,33,
1618,36,
1619,38,
1620,40,
1621,33,
1622,36,
1623,37,
1624,31,
1625,37,
1626,35,
1627,25,
1628,36,
1629,29,
1630,21,
1631,28,
1632,32,
1633,30,
1634,30,
1635,27,
1636,22,
1637,26,
1638,25,
1639,27,
1640,23,
1641,32,
1642,28,
1643,27,
1644,28,
1645,22,
1646,21,
1647,31,
1648,15,
1649,31,
1650,26,
1651,27,
1652,21,
1653,31,
1654,18,
1655,27,
1656,21,
1657,19,
1658,31,
1659,25,
1660,19,
1661,25,
1662,20,
1663,21,
1664,29,
1665,19,
1666,20,
1667,27,
1668,22,
1669,22,
1670,28,
1671,23,
1672,17,
1673,22,
1674,19,
1675,20,
1676,27,
1677,16,
1678,23,
1679,12,
1680,17,
1681,24,
1682,22,
1683,16,
1684,16,
1685,21,
1686,12,
1687,16,
1688,15,
1689,16,
1690,14,
1691,21,
1692,14,
1693,27,
1694,17,
1695,11,
1696,18,
1697,15,
1698,16,
1699,18,
1700,22,
1701,3,
1702,21,
1703,18,
1704,13,
1705,20,
1706,25,
1707,14,
1708,10,
1709,8,
1710,18,
1711,15,
1712,16,
1713,12,
1714,14,
1715,16,
1716,14,
1717,16,
1718,11,
1719,12,
1720,21,
1721,16,
1722,13,
1723,12,
1724,13,
1725,16,
1726,12,
1727,10,
1728,15,
1729,15,
1730,9,
1731,14,
1732,12,
1733,15,
1734,14,
1735,15,
1736,15,
1737,22,
1738,7,
1739,13,
1740,12,
1741,12,
1742,-5,
1743,16,
1744,9,
1745,12,
1746,18,
1747,14,
1748,11,
1749,18,
1750,6,
1751,9,
1752,15,
1753,10,
1754,9,
1755,12,
1756,16,
1757,10,
1758,14,
1759,13,
1760,8,
1761,9,
1762,20,
1763,11,
1764,8,
1765,2,
1766,6,
1767,7,
1768,7,
1769,8,
1770,10,
1771,10,
1772,6,
1773,13,
1774,13,
1775,3,
1776,3,
1777,3,
1778,5,
1779,13,
1780,10,
1781,3,
1782,-1,
1783,7,
1784,6,
1785,-10,
1786,3,
1787,8,
1788,9,
1789,2,
1790,6,
1791,4,
1792,13,
1793,11,
1794,12,
1795,12,
1796,4,
1797,16,
1798,13,
1799,10,
1800,7,
1801,2,
1802,8,
1803,11,
1804,9,
1805,2,
1806,8,
1807,11,
1808,10,
1809,11,
1810,7,
1811,8,
1812,11,
1813,14,
1814,4,
1815,9,
1816,7,
1817,7,
1818,10,
1819,5,
1820,5,
1821,6,
1822,-1,
1823,2,
1824,0,
1825,5,
1826,10,
1827,6,
1828,7,
1829,-9,
1830,-4,
1831,-2,
1832,1,
1833,-1,
1834,11,
1835,1,
1836,2,
1837,6,
1838,11,
1839,9,
1840,-2,
1841,1,
1842,-13,
1843,0,
1844,5,
1845,0,
1846,1,
1847,5,
1848,-4,
1849,4,
1850,0,
1851,-4,
1852,-1,
1853,0,
1854,-2,
1855,3,
1856,1,
1857,-1,
1858,-3,
1859,4,
1860,2,
1861,3,
1862,0,
1863,-5,
1864,1,
1865,3,
1866,5,
1867,0,
1868,3,
1869,-1,
1870,3,
1871,-1,
1872,3,
1873,-3,
1874,-3,
1875,-5,
1876,3,
1877,1,
1878,-4,
1879,-3,
1880,13,
1881,2,
1882,-1,
1883,5,
1884,1,
1885,-2,
1886,0,
1887,8,
1888,0,
1889,-3,
1890,-6,
1891,-3,
1892,2,
1893,-7,
1894,-10,
1895,0,
1896,0,
1897,3,
1898,-2,
1899,2,
1900,-3,
1901,0,
1902,7,
1903,1,
1904,6,
1905,3,
1906,0,
1907,-5,
1908,0,
1909,-4,
1910,-3,
1911,-5,
1912,0,
1913,-9,
1914,-12,
1915,1,
1916,-8,
1917,-3,
1918,5,
1919,-4,
1920,1,
1921,1,
1922,-11,
1923,2,
1924,3,
1925,-2,
1926,-1,
1927,-5,
1928,-10,
1929,0,
1930,3,
1931,-4,
1932,7,
1933,2,
1934,-9,
1935,-2,
1936,-2,
1937,5,
1938,1,
1939,2,
1940,-4,
1941,-5,
1942,-7,
1943,0,
1944,-7,
1945,1,
1946,-19,
1947,3,
1948,-7,
1949,-7,
1950,4,
1951,2,
1952,-1,
1953,3,
1954,-10,
1955,-5,
1956,6,
1957,-3,
1958,0,
1959,-7,
1960,-1,
1961,-2,
1962,-6,
1963,-7,
1964,6,
1965,-4,
1966,-10,
1967,-3,
1968,-1,
1969,2,
1970,1,
1971,0,
1972,3,
1973,-2,
1974,-3,
1975,-8,
1976,0,
1977,-10,
1978,-4,
1979,-2,
1980,-2,
1981,-9,
1982,8,
1983,-11,
1984,-3,
1985,2,
1986,-16,
1987,-8,
1988,-10,
1989,-3,
1990,-12,
1991,-2,
1992,-6,
1993,-5,
1994,-10,
1995,-11,
1996,-6,
1997,-2,
1998,-9,
1999,-8,
2000,-3,
2001,-9,
2002,2,
2003,-5,
2004,-4,
2005,-4,
2006,-10,
2007,-7,
2008,-1,
2009,-7,
2010,-18,
2011,-10,
2012,-3,
2013,-5,
2014,-7,
2015,-17,
2016,-4,
2017,-1,
2018,-3,
2019,-8,
2020,-11,
2021,-4,
2022,-7,
2023,-4,
2024,6,
2025,-8,
2026,-16,
2027,-6,
2028,-9,
2029,-4,
2030,2,
2031,-3,
2032,-4,
2033,-7,
2034,-4,
2035,-1,
2036,-8,
2037,-8,
2038,-7,
2039,-1,
2040,-3,
2041,-2,
2042,-1,
2043,-20,
2044,-8,
2045,0,
2046,-6,
